ensembl,symbol,status
YGL142C,GPI10,Essential
YGL145W,TIP20,Essential
YGL150C,INO80,Essential
YGL155W,CDC43,Essential
YGL169W,SUA5,Essential
YGL171W,ROK1,Essential
YGL172W,NUP49,Essential
YGL201C,MCM6,Essential
YGL207W,SPT16,Essential
YGL225W,VRG4,Essential
YGL233W,SEC15,Essential
YGL238W,CSE1,Essential
YGL239C,YGL239C,Essential
YGL245W,GUS1,Essential
YGL247W,BRR6,Essential
YGR002C,SWC4,Essential
YGR005C,TFG2,Essential
YGR009C,SEC9,Essential
YGR013W,SNU71,Essential
YGR024C,THG1,Essential
YGR029W,ERV1,Essential
YGR030C,POP6,Essential
YGR046W,TAM41,Essential
YGR047C,TFC4,Essential
YGR048W,UFD1,Essential
YGR060W,ERG25,Essential
YGR065C,VHT1,Essential
YGR073C,YGR073C,Essential
YGR074W,SMD1,Essential
YGR075C,PRP38,Essential
YGR082W,TOM20,Essential
YGR083C,GCD2,Essential
YGR090W,UTP22,Essential
YGR091W,PRP31,Essential
YGR094W,VAS1,Essential
YGR095C,RRP46,Essential
YGR098C,ESP1,Essential
YGR099W,TEL2,Essential
YGR103W,NOP7,Essential
YGR113W,DAM1,Essential
YGR114C,YGR114C,Essential
YGR115C,YGR115C,Essential
YGR116W,SPT6,Essential
YGR119C,NUP57,Essential
YGR120C,COG2,Essential
YGR128C,UTP8,Essential
YGR140W,CBF2,Essential
YGR145W,ENP2,Essential
YGR147C,NAT2,Essential
YGR156W,PTI1,Essential
YGR158C,MTR3,Essential
YGR172C,YIP1,Essential
YGR175C,ERG1,Essential
YGR179C,OKP1,Essential
YGR185C,TYS1,Essential
YGR186W,TFG1,Essential
YGR190C,YGR190C,Essential
YGR191W,HIP1,Essential
YGR195W,SKI6,Essential
YGR198W,YPP1,Essential
YGR211W,ZPR1,Essential
YGR216C,GPI1,Essential
YGR218W,CRM1,Essential
YGR245C,SDA1,Essential
YGR246C,BRF1,Essential
YGR251W,NOP19,Essential
YGR253C,PUP2,Essential
YGR264C,MES1,Essential
YGR265W,YGR265W,Essential
YGR267C,FOL2,Essential
YGR274C,TAF1,Essential
YGR277C,CAB4,Essential
YGR278W,CWC22,Essential
YGR280C,PXR1,Essential
YHL015W,RPS20,Essential
YHR005C-A,TIM10,Essential
YHR019C,DED81,Essential
YHR020W,YHR020W,Essential
YHR023W,MYO1,Essential
YHR024C,MAS2,Essential
YHR036W,BRL1,Essential
YHR040W,BCD1,Essential
YHR042W,NCP1,Essential
YHR058C,MED6,Essential
YHR062C,RPP1,Essential
YHR065C,RRP3,Essential
YHR068W,DYS1,Essential
YHR069C,RRP4,Essential
YHR070W,TRM5,Essential
YHR072W,ERG7,Essential
YHR074W,QNS1,Essential
YHR083W,SAM35,Essential
YHR084W,STE12,Essential
YHR085W,IPI1,Essential
YHR088W,RPF1,Essential
YHR101C,BIG1,Essential
YHR107C,CDC12,Essential
YHR118C,ORC6,Essential
YHR122W,YHR122W,Essential
YHR128W,FUR1,Essential
YHR143W-A,RPC10,Essential
YHR148W,IMP3,Essential
YHR164C,DNA2,Essential
YHR166C,CDC23,Essential
YHR170W,NMD3,Essential
YHR172W,SPC97,Essential
YHR186C,KOG1,Essential
YHR188C,GPI16,Essential
YHR190W,ERG9,Essential
YHR196W,UTP9,Essential
YHR197W,RIX1,Essential
YHR199C-A,NBL1,Essential
YIL003W,CFD1,Essential
YIL004C,BET1,Essential
YIL019W,FAF1,Essential
YIL021W,RPB3,Essential
YIL022W,TIM44,Essential
YIL026C,IRR1,Essential
YIL031W,ULP2,Essential
YIL033C,BCY1,Essential
YIL046W,MET30,Essential
YIL048W,NEO1,Essential
YIL051C,MMF1,Essential
YIL061C,SNP1,Essential
YIL062C,ARC15,Essential
YIL063C,YRB2,Essential
YIL068C,SEC6,Essential
YIL075C,RPN2,Essential
YIL078W,THS1,Essential
YIL083C,CAB2,Essential
YIL091C,UTP25,Essential
YIL104C,SHQ1,Essential
YIL106W,MOB1,Essential
YIL109C,SEC24,Essential
YIL115C,NUP159,Essential
YIL118W,RHO3,Essential
YIL126W,STH1,Essential
YIL129C,TAO3,Essential
YIL142W,CCT2,Essential
YIL143C,SSL2,Essential
YIL144W,TID3,Essential
YIL147C,SLN1,Essential
YIL150C,MCM10,Essential
YIR006C,PAN1,Essential
YIR008C,PRI1,Essential
YIR010W,DSN1,Essential
YIR011C,STS1,Essential
YIR012W,SQT1,Essential
YIR015W,RPR2,Essential
YIR022W,SEC11,Essential
YJL002C,OST1,Essential
YJL005W,CYR1,Essential
YJL008C,CCT8,Essential
YJL009W,YJL009W,Essential
YJL010C,NOP9,Essential
YJL011C,RPC17,Essential
YJL014W,CCT3,Essential
YJL015C,YJL015C,Essential
YJL016W,YJL016W,Essential
YJL019W,MPS3,Essential
YJL025W,RRN7,Essential
YJL026W,RNR2,Essential
YJL031C,BET4,Essential
YJL032W,YJL032W,Essential
YJL033W,HCA4,Essential
YJL034W,KAR2,Essential
YJL035C,TAD2,Essential
YJL039C,NUP192,Essential
YJL041W,NSP1,Essential
YJL050W,MTR4,Essential
YJL054W,TIM54,Essential
YJL061W,NUP82,Essential
YJL069C,UTP18,Essential
YJL072C,PSF2,Essential
YJL074C,SMC3,Essential
YJL076W,NET1,Essential
YJL081C,ARP4,Essential
YJL085W,EXO70,Essential
YJL086C,YJL086C,Essential
YJL087C,TRL1,Essential
